SYMBOL	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	C1	C2	C3	C4	C5
Gnai3	1745	2997	2729	2545	2655	2689	2733	2504	2011	2424	2034	1989	2561	2236	2021
Pbsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdc45	5	28	7	4	12	9	14	10	10	9	17	10	10	12	5
Scml2	8	2	6	1	2	0	2	0	0	4	2	0	3	4	3
Apoh	24810	25121	27334	30772	34068	39401	39431	40932	36139	39827	28448	26404	30646	32256	29348
Narf	648	704	836	837	846	928	941	730	720	785	729	840	894	1029	752
Cav2	141	478	303	143	137	170	166	158	128	140	131	102	150	128	115
Klf6	329	1720	1147	458	408	363	370	302	335	275	426	403	559	332	277
Scmh1	182	215	225	186	190	191	181	187	193	194	157	172	197	161	140
Cox5a	137	213	205	184	186	257	222	185	176	211	114	122	191	159	130
Tbx2	70	66	76	79	52	51	45	63	73	49	56	48	76	41	53
Tbx4	0	14	0	1	1	1	1	0	0	2	0	1	3	0	1
Zfy2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ngfr	63	195	109	198	57	149	155	122	138	113	132	60	64	106	111
Wnt3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Wnt9a	17	34	25	10	19	13	14	8	15	13	15	11	15	15	11
Fer	186	290	253	224	216	170	189	142	171	171	194	210	227	169	176
Xpo6	616	912	894	766	812	855	789	834	886	777	744	820	847	767	702
Tfe3	451	617	606	508	551	442	382	372	405	373	400	558	543	404	386
Axin2	162	143	136	124	105	158	176	216	312	242	118	123	114	144	101
Brat1	128	143	159	168	162	131	114	123	130	144	103	166	160	138	128
Gna12	774	782	953	823	1117	1139	1019	946	942	1027	810	1018	1135	988	1016
Slc22a18	355	353	359	386	550	708	717	619	592	672	435	506	524	577	538
Itgb2l	80	109	68	75	93	82	78	86	74	79	74	87	85	84	65
Igsf5	164	215	233	191	173	121	144	99	109	128	102	111	177	170	148
Pih1d2	22	28	27	23	15	18	14	7	9	8	16	7	24	14	15
Dlat	531	736	687	670	719	1067	1118	1023	1061	1102	589	561	669	708	508
Sdhd	1505	1845	1824	1940	2221	2160	2249	2130	1681	2248	1508	1568	2003	1932	1660
Fgf23	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0
Fgf6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccnd2	199	306	354	193	268	295	289	330	298	264	251	246	324	283	242
Gpr107	519	793	748	679	699	471	464	405	411	421	548	554	636	487	511
Nalcn	0	4	0	0	4	0	0	1	1	1	0	5	4	0	0
Btbd17	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0
Slfn4	49	1210	757	19	26	9	3	5	7	11	69	38	138	11	16
Th	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ins2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scnn1g	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Drp2	0	0	2	0	2	1	2	2	0	0	0	0	2	2	0
Tspan32	4	11	23	9	12	5	17	6	7	5	13	11	14	4	9
Lhx2	34	38	37	38	38	53	49	62	86	56	39	44	46	40	38
Clec2g	1	3	8	0	7	0	0	1	0	2	3	10	12	0	0
Gmpr	15	26	22	13	15	15	24	14	16	16	19	11	9	22	16
Glra1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mid2	248	287	302	265	297	312	319	256	300	287	235	251	260	223	234
Trim25	2211	2649	3061	2331	2574	2117	2062	2617	2596	2589	1773	2123	2528	1724	1861
Dgke	85	132	144	117	68	62	49	70	62	56	76	84	80	65	49
Scpep1	723	885	1147	920	828	897	873	762	657	780	880	673	771	847	926
Mnt	165	215	241	202	210	122	142	143	141	141	214	209	171	166	183
Itgb2	171	669	893	140	384	214	211	146	151	134	285	469	640	206	136
Hddc2	16	34	29	8	15	8	11	9	14	18	10	8	12	13	10
Tpd52l1	79	50	72	65	70	102	79	99	90	83	59	73	71	92	64
Pemt	1711	1721	1612	2253	2152	2440	2440	2376	1908	2416	1748	1761	1956	2019	1775
Cdh1	607	1700	595	525	637	510	429	562	506	494	274	412	647	465	249
Cdh4	38	46	64	35	28	30	33	22	25	28	14	24	25	38	36
Ckmt1	6	515	7	2	1	4	4	3	1	0	5	2	4	3	2
Bcl6b	51	93	101	49	42	28	60	52	46	31	48	41	37	38	44
Clec10a	4	27	21	4	9	16	5	4	7	1	15	17	27	12	4
Alox12	19	30	38	14	36	25	21	11	19	18	26	31	32	25	21
Comt	6194	7398	8363	8522	9622	7178	7112	4289	4387	4671	7563	8212	9315	6563	8360
Rtca	116	134	113	121	138	101	103	103	102	110	100	107	134	112	106
Dbt	1292	1319	1499	1474	1758	2856	2958	2453	2374	2443	1456	1658	1800	1795	1510
Dazap2	1872	2810	2877	2303	2437	2948	2839	2925	3183	2893	2178	2188	2534	2422	2203
Mcts1	429	515	497	505	501	496	440	471	373	492	372	363	448	395	385
Rem1	10	15	22	8	7	0	2	9	6	7	10	7	8	5	6
Rnf17	0	0	0	1	2	0	0	0	0	2	0	0	3	0	0
Trappc10	445	700	633	636	576	510	496	541	600	567	480	488	571	535	413
Ccm2	164	223	191	165	174	214	170	121	155	140	151	171	176	160	140
